date,year,month,toa_net_flux_w_m2,decimal_year
2022-09-01,2022,9,93.330000,2022.708333
2022-10-01,2022,10,98.950000,2022.791667
2022-11-01,2022,11,104.690000,2022.875000
2022-12-01,2022,12,106.240000,2022.958333
2023-01-01,2023,1,103.860000,2023.041667
2023-02-01,2023,2,100.440000,2023.125000
2023-03-01,2023,3,96.840000,2023.208333
2023-04-01,2023,4,95.440000,2023.291667
2023-05-01,2023,5,96.280000,2023.375000
2023-06-01,2023,6,94.120000,2023.458333
2023-07-01,2023,7,91.940000,2023.541667
2023-08-01,2023,8,90.040000,2023.625000
2023-09-01,2023,9,91.850000,2023.708333
2023-10-01,2023,10,97.710000,2023.791667
2023-11-01,2023,11,104.120000,2023.875000
2023-12-01,2023,12,106.340000,2023.958333
2024-01-01,2024,1,104.890000,2024.041667
2024-02-01,2024,2,100.830000,2024.125000
2024-03-01,2024,3,97.850000,2024.208333
2024-04-01,2024,4,95.850000,2024.291667
2024-05-01,2024,5,96.440000,2024.375000
2024-06-01,2024,6,94.760000,2024.458333
2024-07-01,2024,7,93.170000,2024.541667
2024-08-01,2024,8,90.930000,2024.625000
2024-09-01,2024,9,92.650000,2024.708333
2024-10-01,2024,10,98.520000,2024.791667
2024-11-01,2024,11,104.150000,2024.875000
2024-12-01,2024,12,106.670000,2024.958333
2025-01-01,2025,1,103.200000,2025.041667
2025-02-01,2025,2,100.140000,2025.125000
2025-03-01,2025,3,96.540000,2025.208333
2025-04-01,2025,4,95.850000,2025.291667
2025-05-01,2025,5,96.450000,2025.375000
2025-06-01,2025,6,94.760000,2025.458333
2025-07-01,2025,7,92.670000,2025.541667
2025-08-01,2025,8,90.940000,2025.625000
2025-09-01,2025,9,92.360000,2025.708333
2025-10-01,2025,10,98.520000,2025.791667
2025-11-01,2025,11,103.890000,2025.875000
2025-12-01,2025,12,106.010000,2025.958333
2026-01-01,2026,1,103.500000,2026.041667
