date,year,month,decimal_year,toa_net_flux_w_m2,EEI
2024-01-01,2024,1,2024.041667,-0.400000,0.820000
2024-02-01,2024,2,2024.125000,-0.130000,0.713333
2024-03-01,2024,3,2024.208333,-0.160000,0.581667
2024-04-01,2024,4,2024.291667,0.220000,0.445000
2024-05-01,2024,5,2024.375000,-0.960000,0.230000
2024-06-01,2024,6,2024.458333,0.100000,0.153333
2024-07-01,2024,7,2024.541667,-0.140000,0.088333
2024-08-01,2024,8,2024.625000,0.330000,0.046667
2024-09-01,2024,9,2024.708333,0.110000,0.005833
2024-10-01,2024,10,2024.791667,0.380000,0.024167
2024-11-01,2024,11,2024.875000,0.200000,0.001667
2024-12-01,2024,12,2024.958333,-0.420000,-0.072500
2025-01-01,2025,1,2025.041667,1.300000,0.069167
2025-02-01,2025,2,2025.125000,0.140000,0.091667
2025-03-01,2025,3,2025.208333,0.480000,0.145000
2025-04-01,2025,4,2025.291667,-0.070000,0.120833
2025-05-01,2025,5,2025.375000,-0.090000,0.193333
2025-06-01,2025,6,2025.458333,0.040000,0.188333
2025-07-01,2025,7,2025.541667,0.720000,0.260000
2025-08-01,2025,8,2025.625000,1.170000,0.330000
2025-09-01,2025,9,2025.708333,0.830000,0.390000
2025-10-01,2025,10,2025.791667,0.210000,0.375833
2025-11-01,2025,11,2025.875000,0.640000,0.412500
2025-12-01,2025,12,2025.958333,1.700000,0.589167
2026-01-01,2026,1,2026.041667,1.380000,0.595833
