date,year,month,toa_net_flux_w_m2,decimal_year
2019-04-01,2019,4,-0.600000,2019.291667
2019-05-01,2019,5,-1.010000,2019.375000
2019-06-01,2019,6,-0.370000,2019.458333
2019-07-01,2019,7,-0.860000,2019.541667
2019-08-01,2019,8,-0.500000,2019.625000
2019-09-01,2019,9,-1.190000,2019.708333
2019-10-01,2019,10,-1.670000,2019.791667
2019-11-01,2019,11,-0.970000,2019.875000
2019-12-01,2019,12,-1.180000,2019.958333
2020-01-01,2020,1,0.110000,2020.041667
2020-02-01,2020,2,-0.410000,2020.125000
2020-03-01,2020,3,-0.930000,2020.208333
2020-04-01,2020,4,-1.210000,2020.291667
2020-05-01,2020,5,-1.310000,2020.375000
2020-06-01,2020,6,-0.870000,2020.458333
2020-07-01,2020,7,-0.240000,2020.541667
2020-08-01,2020,8,-1.080000,2020.625000
2020-09-01,2020,9,-0.230000,2020.708333
2020-10-01,2020,10,0.490000,2020.791667
2020-11-01,2020,11,-0.150000,2020.875000
2020-12-01,2020,12,0.470000,2020.958333
2021-01-01,2021,1,0.290000,2021.041667
2021-02-01,2021,2,-0.470000,2021.125000
2021-03-01,2021,3,-0.870000,2021.208333
2021-04-01,2021,4,-0.550000,2021.291667
2021-05-01,2021,5,-0.310000,2021.375000
2021-06-01,2021,6,-1.170000,2021.458333
2021-07-01,2021,7,-0.210000,2021.541667
2021-08-01,2021,8,-0.860000,2021.625000
2021-09-01,2021,9,-0.440000,2021.708333
2021-10-01,2021,10,-0.830000,2021.791667
2021-11-01,2021,11,-0.960000,2021.875000
2021-12-01,2021,12,-0.020000,2021.958333
2022-01-01,2022,1,-0.570000,2022.041667
2022-02-01,2022,2,-0.960000,2022.125000
2022-03-01,2022,3,-0.500000,2022.208333
2022-04-01,2022,4,-0.540000,2022.291667
2022-05-01,2022,5,-0.040000,2022.375000
2022-06-01,2022,6,-1.390000,2022.458333
2022-07-01,2022,7,-0.120000,2022.541667
2022-08-01,2022,8,-0.370000,2022.625000
2022-09-01,2022,9,-0.490000,2022.708333
2022-10-01,2022,10,-0.590000,2022.791667
2022-11-01,2022,11,-0.700000,2022.875000
2022-12-01,2022,12,-1.280000,2022.958333
2023-01-01,2023,1,-1.530000,2023.041667
2023-02-01,2023,2,-1.020000,2023.125000
2023-03-01,2023,3,-1.460000,2023.208333
2023-04-01,2023,4,-1.190000,2023.291667
2023-05-01,2023,5,-0.550000,2023.375000
2023-06-01,2023,6,-1.570000,2023.458333
2023-07-01,2023,7,-1.600000,2023.541667
2023-08-01,2023,8,-2.140000,2023.625000
2023-09-01,2023,9,-1.970000,2023.708333
2023-10-01,2023,10,-1.830000,2023.791667
2023-11-01,2023,11,-1.270000,2023.875000
2023-12-01,2023,12,-1.190000,2023.958333
2024-01-01,2024,1,-0.500000,2024.041667
2024-02-01,2024,2,-0.630000,2024.125000
2024-03-01,2024,3,-0.440000,2024.208333
2024-04-01,2024,4,-0.780000,2024.291667
2024-05-01,2024,5,-0.400000,2024.375000
2024-06-01,2024,6,-0.930000,2024.458333
2024-07-01,2024,7,-0.370000,2024.541667
2024-08-01,2024,8,-1.250000,2024.625000
2024-09-01,2024,9,-1.170000,2024.708333
2024-10-01,2024,10,-1.020000,2024.791667
2024-11-01,2024,11,-1.240000,2024.875000
2024-12-01,2024,12,-0.850000,2024.958333
2025-01-01,2025,1,-2.190000,2025.041667
2025-02-01,2025,2,-1.310000,2025.125000
2025-03-01,2025,3,-1.760000,2025.208333
2025-04-01,2025,4,-0.780000,2025.291667
2025-05-01,2025,5,-0.380000,2025.375000
2025-06-01,2025,6,-0.930000,2025.458333
2025-07-01,2025,7,-0.870000,2025.541667
2025-08-01,2025,8,-1.240000,2025.625000
2025-09-01,2025,9,-1.460000,2025.708333
2025-10-01,2025,10,-1.020000,2025.791667
2025-11-01,2025,11,-1.500000,2025.875000
2025-12-01,2025,12,-1.520000,2025.958333
2026-01-01,2026,1,-1.890000,2026.041667
2026-02-01,2026,2,-2.140000,2026.125000
